Trace_Number,Case_Number,time:timestamp,concept:name,vehicleClass,totalPaymentAmount,lifecycle:transition,dismissal,article,points,expense,notificationType,lastSent,paymentAmount,amount,org:resource
A10026,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10026,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10026,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10026,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10026,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10029,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10029,1,2007-04-10T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A10030,0,2007-03-22T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,22.0,537
A10030,1,2007-03-26T00:00:00+02:00,Payment,,22.0,complete,,,,,,,22.0,,
A10033,0,2007-03-23T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10033,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10033,2,2007-08-19T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10033,3,2007-10-18T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10033,4,2008-09-13T00:00:00+02:00,Payment,,87.0,complete,,,,,,,87.0,,
A10034,0,2007-03-23T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10034,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10034,2,2007-08-20T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10034,3,2007-10-19T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10034,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10041,0,2007-03-24T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10041,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10042,0,2007-03-24T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10042,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10042,2,2007-08-09T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10042,3,2007-10-08T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10042,4,2007-10-23T00:00:00+02:00,Payment,,49.0,complete,,,,,,,49.0,,
A10042,5,2007-11-13T00:00:00+01:00,Payment,,87.0,complete,,,,,,,38.0,,
A10043,0,2007-03-24T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10043,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10043,2,2007-08-10T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10043,3,2007-10-09T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10043,4,2008-10-10T00:00:00+02:00,Payment,,87.0,complete,,,,,,,87.0,,
A10044,0,2007-03-24T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10044,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10044,2,2007-08-09T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10044,3,2007-10-08T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10044,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10045,0,2007-03-24T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10045,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10046,0,2007-03-28T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10046,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10046,2,2007-08-05T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10046,3,2007-10-04T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10046,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10047,0,2007-03-28T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10047,1,2007-04-02T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A10049,0,2007-03-28T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,537
A10049,1,2007-03-30T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A10050,0,2007-03-28T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,22.0,537
A10050,1,2007-08-02T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10050,2,2007-08-28T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10050,3,2007-10-27T00:00:00+02:00,Add penalty,,,complete,,,,,,,,44.0,
A10050,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10054,0,2007-03-07T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10054,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10056,0,2007-03-07T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10056,1,2007-03-17T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10059,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10059,1,2007-04-18T00:00:00+02:00,Payment,,36.0,complete,,,,,,,36.0,,
A1006,0,2006-08-08T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1006,1,2006-09-12T00:00:00+02:00,Payment,,21.0,complete,,,,,,,21.0,,
A10060,0,2007-03-08T00:00:00+01:00,Create Fine,C,0.0,complete,NIL,157,0,,,,,36.0,541
A10060,1,2007-03-13T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10061,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10061,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10061,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10061,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10061,4,2008-09-25T00:00:00+02:00,Payment,,87.0,complete,,,,,,,87.0,,
A10063,0,2007-03-08T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10063,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10063,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10063,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10063,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10067,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10067,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10067,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10067,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10067,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10068,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10068,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10068,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10068,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10068,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10069,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10069,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10069,2,2007-07-28T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10069,3,2007-09-26T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10069,4,2008-09-30T00:00:00+02:00,Payment,,87.0,complete,,,,,,,87.0,,
A1007,0,2006-08-28T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1007,1,2006-12-15T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A1007,2,2007-01-07T00:00:00+01:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A1007,3,2007-03-08T00:00:00+01:00,Add penalty,,,complete,,,,,,,,42.5,
A1007,4,2007-11-30T00:00:00+01:00,Payment,,53.5,complete,,,,,,,53.5,,
A10071,0,2007-03-09T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10071,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10071,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10071,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10071,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10072,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10072,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10074,0,2007-03-10T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10074,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10075,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10075,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10075,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10075,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10075,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10076,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10076,1,2007-03-12T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10077,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10077,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10078,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10078,1,2007-03-21T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10079,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10079,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10079,2,2007-07-24T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10079,3,2007-09-22T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10079,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A1008,0,2006-08-28T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1008,1,2007-04-04T00:00:00+02:00,Send Fine,,,complete,,,,16.6,,,,,
A10082,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10082,1,2007-03-11T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10083,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10083,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10083,2,2007-08-02T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10083,3,2007-10-01T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10083,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10085,0,2007-03-14T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10085,1,2007-03-16T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10089,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10089,1,2007-03-12T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A1009,0,2006-08-29T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,21.0,550
A1009,1,2006-12-15T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A1009,2,2007-01-01T00:00:00+01:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A1009,3,2007-03-02T00:00:00+01:00,Add penalty,,,complete,,,,,,,,42.5,
A1009,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10090,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10090,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10090,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10090,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10090,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10091,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10091,1,2007-03-13T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10092,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,22.0,541
A10092,1,2007-03-11T00:00:00+01:00,Payment,,22.0,complete,,,,,,,22.0,,
A10095,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10095,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10095,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10095,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10095,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10097,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10097,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10097,2,2007-07-23T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10097,3,2007-09-21T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10097,4,2007-09-21T00:00:00+02:00,Payment,,49.0,complete,,,,,,,49.0,,
A10099,0,2007-03-11T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,541
A10099,1,2007-03-22T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A101,0,2006-07-30T00:00:00+02:00,Create Fine,A,0.0,complete,NIL,7,0,,,,,35.0,541
A101,1,2006-12-12T00:00:00+01:00,Send Fine,,,complete,,,,11.0,,,,,
A10101,0,2007-03-05T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10101,1,2007-06-27T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10101,2,2007-07-06T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10101,3,2007-09-04T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10101,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10102,0,2007-03-05T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10102,1,2007-06-27T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10102,2,2007-07-07T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10102,3,2007-09-05T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10102,4,2007-09-10T00:00:00+02:00,Insert Date Appeal to Prefecture,,,complete,,,,,,,,,
A10102,5,2007-10-25T00:00:00+02:00,Send Appeal to Prefecture,,,complete,#,,,,,,,,
A10104,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10104,1,2007-03-06T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
A10106,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10106,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10106,2,2007-07-25T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10106,3,2007-09-23T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10106,4,2009-03-30T00:00:00+02:00,Send for Credit Collection,,,complete,,,,,,,,,
A10107,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10107,1,2007-07-17T00:00:00+02:00,Send Fine,,,complete,,,,13.0,,,,,
A10107,2,2007-07-26T00:00:00+02:00,Insert Fine Notification,,,complete,,,,,P,P,,,
A10107,3,2007-07-27T00:00:00+02:00,Insert Date Appeal to Prefecture,,,complete,,,,,,,,,
A10107,4,2007-09-24T00:00:00+02:00,Add penalty,,,complete,,,,,,,,74.0,
A10107,5,2007-09-24T00:00:00+02:00,Send Appeal to Prefecture,,,complete,#,,,,,,,,
A10108,0,2007-03-06T00:00:00+01:00,Create Fine,A,0.0,complete,NIL,157,0,,,,,36.0,557
A10108,1,2007-03-23T00:00:00+01:00,Payment,,36.0,complete,,,,,,,36.0,,
